Destination,Prefix,First Increment,Second Increment,Rate
ANTIGUA AND BARBUDA - MOBILE,1268773,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268464,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268783,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268786,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268784,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268782,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268771,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268781,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268774,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,126872,30,6,0.1433
ANTIGUA AND BARBUDA - MOBILE,1268778,30,6,0.1433
ANTIGUA AND BARBUDA - PAGER,1268409,30,6,0.1433
ANTIGUA AND BARBUDA - PAGER,1268406,30,6,0.1433
ANTIGUA AND BARBUDA - PREMIUM,1268268,30,6,0.1433
ANTIGUA AND BARBUDA - PREMIUM,1268555,30,6,0.1433
ANTIGUA AND BARBUDA - PROPER,1268,30,6,0.1433
ARGENTINA - BUENOS AIRES,5411,30,6,0.0102
ARGENTINA - CORDOBA,54351456,30,6,0.0122
ARGENTINA - CORDOBA,54351,30,6,0.0122
ARGENTINA - CORDOBA,54351443,30,6,0.0122
ARGENTINA - CORDOBA,54351581,30,6,0.0122
ARGENTINA - CORDOBA,543514442,30,6,0.0122
ARGENTINA - CORDOBA,54351570,30,6,0.0122
ARGENTINA - CORDOBA,54351536,30,6,0.0122
ARGENTINA - CORDOBA,54351478,30,6,0.0122
ARGENTINA - CORDOBA,54351434,30,6,0.0122
ARGENTINA - CORDOBA,54351476,30,6,0.0122
ARGENTINA - CORDOBA,5435146,30,6,0.0122
ARGENTINA - CORDOBA,54351471,30,6,0.0122
ARGENTINA - CORDOBA,54351457,30,6,0.0122
ARGENTINA - CORDOBA,54351568,30,6,0.0122
ARGENTINA - CORDOBA,54351582,30,6,0.0122
ARGENTINA - CORDOBA,54351447,30,6,0.0122
ARGENTINA - CORDOBA,54351440,30,6,0.0122
ARGENTINA - CORDOBA,543514441,30,6,0.0122
ARGENTINA - CORDOBA,54351446,30,6,0.0122
ARGENTINA - CORDOBA,54351430,30,6,0.0122
ARGENTINA - CORDOBA,54351470,30,6,0.0122
ARGENTINA - CORDOBA,54351556,30,6,0.0122
ARGENTINA - CORDOBA,54351526,30,6,0.0122
ARGENTINA - CORDOBA,5435141,30,6,0.0122
ARGENTINA - CORDOBA,5435142,30,6,0.0122
ARGENTINA - CORDOBA,5435148,30,6,0.0122
ARGENTINA - CORDOBA,54351433,30,6,0.0122
ARGENTINA - CORDOBA,54351452,30,6,0.0122
ARGENTINA - CORDOBA,54351448,30,6,0.0122
ARGENTINA - CORDOBA,54351576,30,6,0.0122
ARGENTINA - CORDOBA,543514444,30,6,0.0122
ARGENTINA - CORDOBA,54351571,30,6,0.0122
ARGENTINA - CORDOBA,54351442,30,6,0.0122
ARGENTINA - CORDOBA,54351525,30,6,0.0122
ARGENTINA - CORDOBA,543514419,30,6,0.0122
ARGENTINA - CORDOBA,54351523,30,6,0.0122
ARGENTINA - CORDOBA,54351455,30,6,0.0122
ARGENTINA - CORDOBA,54351477,30,6,0.0122
ARGENTINA - CORDOBA,543514447,30,6,0.0122
ARGENTINA - CORDOBA,54351472,30,6,0.0122
ARGENTINA - CORDOBA,54351579,30,6,0.0122
ARGENTINA - CORDOBA,54351458,30,6,0.0122
ARGENTINA - CORDOBA,54351473,30,6,0.0122
ARGENTINA - CORDOBA,54351577,30,6,0.0122
ARGENTINA - CORDOBA,54351474,30,6,0.0122
ARGENTINA - CORDOBA,543514446,30,6,0.0122
ARGENTINA - CORDOBA,54351569,30,6,0.0122
ARGENTINA - CORDOBA,54351553,30,6,0.0122
ARGENTINA - CORDOBA,54351554,30,6,0.0122
ARGENTINA - CORDOBA,54351451,30,6,0.0122
ARGENTINA - CORDOBA,54351535,30,6,0.0122
ARGENTINA - CORDOBA,543514443,30,6,0.0122
ARGENTINA - CORDOBA,54351453,30,6,0.0122
ARGENTINA - CORDOBA,54351578,30,6,0.0122
ARGENTINA - CORDOBA,54351479,30,6,0.0122
ARGENTINA - CORRIENTES,543783413,30,6,0.0206
ARGENTINA - CORRIENTES,54378345,30,6,0.0206
ARGENTINA - CORRIENTES,54378343,30,6,0.0206
ARGENTINA - CORRIENTES,543783412,30,6,0.0206
ARGENTINA - CORRIENTES,543783414,30,6,0.0206
ARGENTINA - CORRIENTES,543783482,30,6,0.0206
ARGENTINA - CORRIENTES,543783484,30,6,0.0206
ARGENTINA - CORRIENTES,543783411,30,6,0.0206
ARGENTINA - CORRIENTES,543783416,30,6,0.0206
ARGENTINA - CORRIENTES,543783410,30,6,0.0206
ARGENTINA - CORRIENTES,54378347,30,6,0.0206
ARGENTINA - CORRIENTES,54378346,30,6,0.0206
ARGENTINA - CORRIENTES,54378344,30,6,0.0206
ARGENTINA - CORRIENTES,54378342,30,6,0.0206
ARGENTINA - CORRIENTES,543783483,30,6,0.0206
ARGENTINA - CORRIENTES,543783417,30,6,0.0206
ARGENTINA - LA PLATA,54221,30,6,0.0122
ARGENTINA - LA PLATA,542214920,30,6,0.0122
ARGENTINA - LA PLATA,54221457,30,6,0.0122
ARGENTINA - LA PLATA,54221439,30,6,0.0122
ARGENTINA - LA PLATA,54221432,30,6,0.0122
ARGENTINA - LA PLATA,54221453,30,6,0.0122
ARGENTINA - LA PLATA,54221527,30,6,0.0122
ARGENTINA - LA PLATA,54221518,30,6,0.0122
ARGENTINA - LA PLATA,54221514,30,6,0.0122
ARGENTINA - LA PLATA,5422141,30,6,0.0122
ARGENTINA - LA PLATA,5422146,30,6,0.0122
ARGENTINA - LA PLATA,5422144,30,6,0.0122
ARGENTINA - LA PLATA,54221452,30,6,0.0122
ARGENTINA - LA PLATA,5422147,30,6,0.0122
ARGENTINA - LA PLATA,54221451,30,6,0.0122
ARGENTINA - LA PLATA,54221517,30,6,0.0122
ARGENTINA - LA PLATA,54221526,30,6,0.0122
ARGENTINA - LA PLATA,5422148,30,6,0.0122
ARGENTINA - LA PLATA,54221516,30,6,0.0122
ARGENTINA - LA PLATA,54221456,30,6,0.0122
ARGENTINA - LA PLATA,54221513,30,6,0.0122
ARGENTINA - LA PLATA,54221499,30,6,0.0122
ARGENTINA - LA PLATA,54221509,30,6,0.0122
ARGENTINA - LA PLATA,54221433,30,6,0.0122
ARGENTINA - LA PLATA,54221521,30,6,0.0122
ARGENTINA - LA PLATA,54221515,30,6,0.0122
ARGENTINA - LA PLATA,542214921,30,6,0.0122
ARGENTINA - LA PLATA,54221493,30,6,0.0122
ARGENTINA - LA PLATA,5422142,30,6,0.0122
ARGENTINA - LA PLATA,54221519,30,6,0.0122
ARGENTINA - LA PLATA,54221450,30,6,0.0122
ARGENTINA - MAR DEL PLATA,54223,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223462,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223461,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223431,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223441,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223420,30,6,0.0135
ARGENTINA - MAR DEL PLATA,5422341,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223430,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223451,30,6,0.0135
ARGENTINA - MAR DEL PLATA,5422347,30,6,0.0135
ARGENTINA - MAR DEL PLATA,5422349,30,6,0.0135
ARGENTINA - MAR DEL PLATA,5422348,30,6,0.0135
ARGENTINA - MAR DEL PLATA,54223561,30,6,0.0135
ARGENTINA - MAR DEL PLATA,542234692,30,6,0.0135
ARGENTINA - MARCOS JUAREZ,543472457,30,6,0.0206
ARGENTINA - MARCOS JUAREZ,543472458,30,6,0.0206
ARGENTINA - MARCOS JUAREZ,543472456,30,6,0.0206
ARGENTINA - MARCOS JUAREZ,543472455,30,6,0.0206
ARGENTINA - MARCOS JUAREZ,54347242,30,6,0.0206
ARGENTINA - MENDOZA,54261,30,6,0.0124
ARGENTINA - MENDOZA,5426142,30,6,0.0124
ARGENTINA - MENDOZA,54261474,30,6,0.0124
ARGENTINA - MENDOZA,5426152,30,6,0.0124
ARGENTINA - MENDOZA,54261475,30,6,0.0124
ARGENTINA - MENDOZA,542614893,30,6,0.0124
ARGENTINA - MENDOZA,5426140,30,6,0.0124
ARGENTINA - MENDOZA,54261476,30,6,0.0124
ARGENTINA - MENDOZA,5426144,30,6,0.0124
ARGENTINA - MENDOZA,5426145,30,6,0.0124
ARGENTINA - MENDOZA,5426141,30,6,0.0124
ARGENTINA - MENDOZA,54261462,30,6,0.0124
ARGENTINA - MENDOZA,5426143,30,6,0.0124
ARGENTINA - MOBILE,549,30,6,0.0611
ARGENTINA - MORENO,54237,30,6,0.0138
ARGENTINA - PROPER,54,30,6,0.0206
ARGENTINA - ROSARIO,543414908,30,6,0.0127
ARGENTINA - ROSARIO,54341,30,6,0.0127
ARGENTINA - ROSARIO,54341522,30,6,0.0127
ARGENTINA - ROSARIO,54341553,30,6,0.0127
ARGENTINA - ROSARIO,5434143,30,6,0.0127
ARGENTINA - ROSARIO,54341523,30,6,0.0127
ARGENTINA - ROSARIO,5434146,30,6,0.0127
ARGENTINA - ROSARIO,54341517,30,6,0.0127
ARGENTINA - ROSARIO,54341529,30,6,0.0127
ARGENTINA - ROSARIO,54341551,30,6,0.0127
ARGENTINA - ROSARIO,54341512,30,6,0.0127
ARGENTINA - ROSARIO,54341528,30,6,0.0127
ARGENTINA - ROSARIO,54341473,30,6,0.0127
ARGENTINA - ROSARIO,54341524,30,6,0.0127
ARGENTINA - ROSARIO,543414906,30,6,0.0127
ARGENTINA - ROSARIO,54341471,30,6,0.0127
ARGENTINA - ROSARIO,5434145,30,6,0.0127
ARGENTINA - ROSARIO,5434141,30,6,0.0127
ARGENTINA - ROSARIO,54341409,30,6,0.0127
ARGENTINA - ROSARIO,5434144,30,6,0.0127
ARGENTINA - ROSARIO,5434153,30,6,0.0127
ARGENTINA - ROSARIO,5434142,30,6,0.0127
ARGENTINA - ROSARIO,54341472,30,6,0.0127
ARGENTINA - ROSARIO,54341474,30,6,0.0127
ARGENTINA - ROSARIO,5434148,30,6,0.0127
ARGENTINA - ROSARIO,54341516,30,6,0.0127
ARGENTINA - ROSARIO,54341527,30,6,0.0127
ARGENTINA - SALTA,54387439,30,6,0.0206
ARGENTINA - SALTA,54387431,30,6,0.0206
ARGENTINA - SALTA,54387434,30,6,0.0206
ARGENTINA - SALTA,54387401,30,6,0.0206
ARGENTINA - SALTA,54387497,30,6,0.0206
ARGENTINA - SALTA,54387400,30,6,0.0206
ARGENTINA - SALTA,54387437,30,6,0.0206
ARGENTINA - SALTA,543874384,30,6,0.0206
ARGENTINA - SALTA,54387435,30,6,0.0206
ARGENTINA - SALTA,54387436,30,6,0.0206
ARGENTINA - SALTA,543874387,30,6,0.0206
ARGENTINA - SALTA,543874386,30,6,0.0206
ARGENTINA - SALTA,543874385,30,6,0.0206
ARGENTINA - SALTA,543874388,30,6,0.0206
ARGENTINA - SALTA,5438742,30,6,0.0206
ARGENTINA - SALTA,54387432,30,6,0.0206
ARGENTINA - SALTA,54387495,30,6,0.0206
ARGENTINA - SAN JUAN,5426442,30,6,0.0206
ARGENTINA - SAN JUAN,542644942,30,6,0.0206
ARGENTINA - SAN JUAN,5426443,30,6,0.0206
ARGENTINA - SAN JUAN,54264401,30,6,0.0206
ARGENTINA - SAN JUAN,542644946,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265245,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265246,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652550,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265244,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265242,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652479,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652475,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652474,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265260,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),54265243,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652497,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652477,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652478,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652491,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652492,30,6,0.0206
ARGENTINA - SAN LUIS (PROV. SAN LUIS),542652476,30,6,0.0206
ARGENTINA - SANTA FE,54342474,30,6,0.0206
ARGENTINA - SANTA FE,54342400,30,6,0.0206
ARGENTINA - SANTA FE,5434245,30,6,0.0206
ARGENTINA - SANTA FE,5434248,30,6,0.0206
ARGENTINA - SANTA FE,5434241,30,6,0.0206
ARGENTINA - SANTA FE,54342475,30,6,0.0206
ARGENTINA - SANTA FE,5434246,30,6,0.0206
